,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
3964,NEW PETER'S KITCHEN,less wealthy,11367,Chinese,5/1/19,06C,Y,1,5/1/19,40.71865885,-73.81358011,408,24,77904,4144787,4066910086,QN37,1
3965,TEL AVIV CAFE,less wealthy,11230,Middle Eastern,2/27/19,10F,N,1,2/27/19,40.610868599999996,-73.96253229,314,48,54200,3181685,3067580064,BK43,1
3966,VINNIE'S PIZZERIA,less wealthy,11249,Pizza/Italian,9/25/19,06C,Y,1,9/25/19,40.71880767,-73.95668859,301,33,51700,3061787,3023110022,BK73,1
3967,MILANO'S BAR,wealthier,10012,"Bottled beverages, including water, sodas, juices, etc.",10/8/19,04K,Y,1,10/8/19,40.72476912,-73.99444037,102,1,4300,1007921,1005090023,MN24,1
3968,GILBEY'S,less wealthy,11106,Irish,1/4/19,10F,N,1,1/4/19,40.76154342,-73.92446123,401,22,6100,4008407,4006140009,QN70,1
3969,SUBWAY,wealthier,10010,Sandwiches,5/2/19,09B,N,1,5/2/19,40.73864236,-73.98036583,106,2,6600,1019791,1009050026,MN20,1
3970,HIGHLINE BALLROOM,wealthier,10011,American,9/25/18,06C,Y,0,9/25/18,40.74287906,-74.00582819,104,3,8300,1012543,1007140016,MN13,0
3971,IL NOCELLO RISTORANTE ITALIANO,less wealthy,11357,Italian,5/22/19,09C,N,1,5/22/19,40.78815353,-73.81354367,407,19,98700,4106234,4046780067,QN49,1
3972,WING WAGON,less wealthy,11238,American,9/19/19,04L,Y,1,9/19/19,40.67694924,-73.97228316,308,35,16300,3029034,3011640012,BK64,1
3973,THE BOILER ROOM,wealthier,10003,American,11/6/19,10B,N,1,11/6/19,40.72611369,-73.98929543,103,2,3800,1006168,1004450009,MN22,1
3974,TRATTORIA TRE COLORI,wealthier,10036,Italian,1/17/19,10B,N,1,1/17/19,40.75991238,-73.98634806,105,3,12500,1024746,1010180056,MN17,1
3975,ATLANTIC DINER,less wealthy,11419,American,12/4/19,08A,N,1,12/4/19,40.69218477,-73.83458027,409,28,11800,4000000,4093970004,QN54,1
3976,BRIDGES BAR,less wealthy,10465,American,1/31/19,10B,N,1,1/31/19,40.81881817,-73.81711371,210,13,13200,2080749,2055890005,BX52,1
3977,UNDERGROUND LOUNGE,less wealthy,11419,Caribbean,3/21/19,06D,Y,1,3/21/19,40.687212200000005,-73.82062029,410,28,15802,4204508,4095770065,QN55,1
3978,C & C WEST INDIAN AMERICAN FOOD,less wealthy,11226,Caribbean,10/1/19,02H,Y,1,10/1/19,40.64125743,-73.95144951,317,45,82800,3327311,3051930048,BK95,1
3979,LUNA PIZZA,wealthier,10007,Pizza,10/15/19,06D,Y,1,10/15/19,40.71335376,-73.99896474,103,1,2700,1077406,1001170001,MN27,1
3980,LETY BAKERY,less wealthy,11372,Bakery,11/15/19,04L,Y,1,11/15/19,40.74927826,-73.88879524,403,25,28700,4029588,4012770036,QN28,1
3981,COBBLE HILL CINEMAS,less wealthy,11231,American,5/20/19,08A,N,1,5/20/19,40.68494251,-73.99463841,306,33,6900,3006487,3004080009,BK38,1
3982,LAZY POINT,wealthier,10013,American,10/4/19,04H,Y,0,10/4/19,40.72592448,-74.00859755,102,3,3700,1010295,1005940034,MN24,0
3983,ROYAL BANGLADESH INDIAN RESTAURANT,wealthier,10003,Bangladeshi,8/7/19,04N,Y,0,8/7/19,40.7261765,-73.98632613,103,2,3800,1006244,1004470030,MN22,0
3984,Y J FRIED FISH,less wealthy,11432,Seafood,1/13/20,10F,N,1,1/13/20,40.707381,-73.79609321,412,27,46000,4209605,4097950065,QN61,1
3985,CASELLULA CHEESE & WINE CAFE,wealthier,10019,American,5/1/19,06A,Y,1,5/1/19,40.76491631,-73.98845526,104,3,13300,1076208,1010620029,MN15,1
3986,SOL INCA,less wealthy,11372,Peruvian,10/30/19,04N,Y,1,10/30/19,40.75606874,-73.88054335,403,25,33900,4034808,4014170044,QN28,1
3987,H&L BAGEL,less wealthy,11209,Bagels/Pretzels,2/14/19,10F,N,1,2/14/19,40.62185497,-74.03172836,310,43,6000,3154022,3060610043,BK31,1
3988,ALKOURA RESTAURANT,less wealthy,11209,Middle Eastern,3/13/19,10F,N,1,3/13/19,40.63008341,-74.02178172,310,43,13400,3147983,3059200068,BK31,1
3989,HUNGARIAN KOSHER,less wealthy,11204,Jewish/Kosher,2/25/19,10F,N,1,2/25/19,40.63035089,-73.98620534,312,44,47400,3129382,3054590006,BK88,1
3990,PUNJABI INDIAN & AMERICAN RESTAURANT,less wealthy,11358,Indian,2/20/19,06D,Y,1,2/20/19,40.75387621,-73.80646811,407,20,120700,4123859,4054590030,QN52,1
3991,KAIETEUR RESTAURANT,less wealthy,11418,Caribbean,4/18/19,10F,N,1,4/18/19,40.69957628,-73.83069576,409,29,12200,4442217,4093280010,QN54,1
3992,RUBY TUESDAY,wealthier,10036,American,1/17/20,06F,Y,0,1/17/20,40.75590782,-73.98668095,105,3,11300,1086069,1009940001,MN17,0
3993,FEILE,wealthier,10001,American,12/6/19,02G,Y,1,12/6/19,40.74958142,-73.98932051,105,3,10100,1015198,1008097501,MN17,1
3994,VINTAGE 61,wealthier,10038,French,10/10/19,04C,Y,1,10/10/19,40.70772149,-74.00152209999999,101,1,1501,1079115,1000970030,MN25,1
3995,RALPH'S FAMOUS ITALIAN ICES,wealthier,10309,"Ice Cream, Gelato, Yogurt, Ices",8/28/19,10I,N,1,8/28/19,40.52401159,-74.21488425,503,51,22600,5087273,5077020069,SI11,1
3996,LE BARRICOU,less wealthy,11211,French,3/13/19,10B,N,1,3/13/19,40.71106470000001,-73.9499809,301,34,51300,3069331,3027790040,BK73,1
3997,AYZA CAFE & WINE BAR,wealthier,10001,Mediterranean,3/11/19,06D,Y,1,3/11/19,40.74683089,-73.98664308,105,4,7600,1087290,1008337502,MN17,1
3998,CAFE SALAMANCA RESTAURANT,less wealthy,11372,Spanish,8/8/19,10F,N,1,8/8/19,40.75528301,-73.88799109,403,25,30903,4026844,4011750041,QN28,1
3999,MORENA RESTAURANT,less wealthy,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/17/19,06E,Y,0,12/17/19,40.85584714,-73.90552708,205,14,25100,2014201,2031950092,BX36,0
4000,ESPRESSO PIZZERIA,less wealthy,11209,Pizza/Italian,6/12/19,08A,N,1,6/12/19,40.61637669,-74.03059834,310,43,16200,3155644,3061180011,BK31,1
4001,WILLBURG CAFE,less wealthy,11211,American,2/15/19,04M,Y,1,2/15/19,40.71135156,-73.94699763,301,34,50300,3069400,3027810044,BK90,1
4002,27 SPORTS BAR & CAFE,less wealthy,10452,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/31/19,10E,N,1,7/31/19,40.84439795,-73.91491534,204,14,20900,2008329,2028590044,BX63,1
4003,THE BAGEL FACTORY,less wealthy,11215,Bagels/Pretzels,9/11/19,04N,Y,1,9/11/19,40.66364556,-73.99104285,307,38,14300,3008914,3006280041,BK37,1
4004,AVLI THE LITTLE GREEK TAVERN,less wealthy,11361,Greek,12/26/19,06D,Y,1,12/26/19,40.76609906,-73.77229571,411,19,112300,4137573,4062380006,QN46,1
4005,EVA'S RESTAURANT,wealthier,10011,American,11/22/19,08C,N,1,11/22/19,40.73252043,-73.9969727,102,3,6300,1009436,1005720049,MN23,1
4006,KINGSTON BAKE SHOP,less wealthy,11225,Jewish/Kosher,11/18/19,09B,N,0,11/18/19,40.66568735,-73.94255354,309,35,33300,3034304,3012990141,BK63,0
4007,ARTOPOLIS ESPRESSO,wealthier,10025,Mediterranean,11/20/19,10H,N,1,11/20/19,40.80522011,-73.96223102,109,7,19900,1057032,1018850036,MN09,1
4008,PANADERIA LA MIXTECA POBLANA & DELI,wealthier,10301,Mexican,9/30/19,04H,Y,1,9/30/19,40.63761667,-74.08000268,501,49,1700,5014589,5005690412,SI37,1
4009,ABITINO'S PIZZA,less wealthy,11430,Pizza,10/17/19,04N,Y,1,10/17/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4010,THE BROOKLYN INN,less wealthy,11217,American,3/22/19,10F,N,1,3/22/19,40.68576822,-73.98836084,302,33,6900,3005801,3003850037,BK38,1
4011,COUNTRY THYME CUISINE,less wealthy,10469,Caribbean,8/21/19,08C,N,1,8/21/19,40.87676308,-73.83769559999999,212,12,46202,2065383,2048800001,BX13,1
4012,POPEYES,wealthier,10302,Chicken,8/6/19,04A,Y,1,8/6/19,40.62594977,-74.1344504,501,49,20100,5024915,5010520001,SI07,1
4013,METROPOLITAN OPERA,wealthier,10023,American,12/20/19,10F,N,1,12/20/19,40.77249675,-73.98369904,107,6,14900,1000000,1011340001,MN14,1
4014,SILVER LAKE GOLF COURSE,wealthier,10301,American,3/28/19,09C,N,1,3/28/19,40.62222764,-74.09654007,501,49,5900,5156180,5002390001,SI35,1
4015,MCDONALD'S,less wealthy,11224,Hamburgers,5/21/19,06D,Y,1,5/21/19,40.57991906,-73.97508115,313,48,35400,3336563,3072700025,BK23,1
4016,SUSHI KOI,less wealthy,11375,Japanese,5/25/19,10F,N,1,5/25/19,40.7159637,-73.83333061,406,29,75701,4052806,4022680023,QN17,1
4017,NEW HONG KONG RESTAURANT II,less wealthy,11218,Chinese,12/18/19,10I,N,1,12/18/19,40.64014578,-73.96677118,314,40,52600,3118642,3051550009,BK42,1
4018,BLACK RABBIT BAR,less wealthy,11222,American,6/22/19,02G,Y,1,6/22/19,40.72999524,-73.95640346,301,33,56500,3064736,3025580074,BK76,1
4019,STARBUCKS,less wealthy,11222,Café/Coffee/Tea,9/12/19,10F,N,1,9/12/19,40.73052416,-73.95429598,301,33,57500,3400032,3025590004,BK76,1
4020,FULL DOE BAKERY,less wealthy,11220,Bakery,10/10/19,08A,N,1,10/10/19,40.64131573,-74.01791548,307,38,7400,3337342,3008630009,BK32,1
4021,SUBWAY,less wealthy,11377,Sandwiches,1/10/20,10F,N,1,1/10/20,40.75315451,-73.90813847,402,26,25500,4027255,4011920001,QN63,1
4022,GEMMA,wealthier,10003,Italian,10/15/19,04N,Y,1,10/15/19,40.72620444,-73.99138077,103,2,3602,1006545,1004580006,MN22,1
4023,LITTLE CAESARS,less wealthy,10472,Pizza,7/11/19,10F,N,1,7/11/19,40.83292842,-73.86196413,209,18,7200,2024906,2037680033,BX55,1
4024,SUBWAY,less wealthy,10462,Sandwiches,9/23/19,08C,N,1,9/23/19,40.84763995,-73.85724548,211,13,24400,2044517,2040960007,BX37,1
4025,CIBO EXPRESS GOURMET MARKET,less wealthy,11430,Delicatessen,3/7/19,10F,N,1,3/7/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4026,NYSB,less wealthy,11430,American,11/14/19,04N,Y,1,11/14/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4027,DRINK,less wealthy,11430,American,10/17/19,10F,N,1,10/17/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4028,O'NEALS,less wealthy,11430,American,12/13/18,06F,Y,1,12/13/18,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4029,BOARDWALK GRILL,wealthier,10305,American,7/9/19,06D,Y,1,7/9/19,40.58971738,-74.06723897,595,50,7000,5000000,5035250200,SI36,1
4030,INDO-PAK HALAL RESTAURANT,wealthier,10029,Pakistani,2/14/19,10F,N,1,2/14/19,40.79420137,-73.93983104,111,8,18000,1052504,1016610027,MN34,1
4031,"DUNKIN', BASKIN ROBBINS",wealthier,10029,Donuts,5/28/19,04L,Y,1,5/28/19,40.79001037,-73.94581886,111,8,16600,1051928,1016310039,MN33,1
4032,COCO ROCO RESTAURANT,less wealthy,11215,Peruvian,10/15/19,04L,Y,0,10/15/19,40.67073744,-73.98500734,306,39,13700,3021602,3009930037,BK37,0
4033,PUBLIC HOUSE,wealthier,10017,American,1/9/19,10F,N,1,1/9/19,40.74957378,-73.97532422,106,4,8000,1089024,1012950033,MN20,1
4034,SHINBASHI JAPANESE RESTAURANT,wealthier,10017,Japanese,6/20/19,04M,Y,0,6/20/19,40.75707567,-73.97760628,105,4,9400,1035434,1012840007,MN17,0
4035,CHIPOTLE MEXICAN GRILL,wealthier,10038,Mexican,3/5/19,10F,N,1,3/5/19,40.70685943,-74.00699004,101,1,700,1001014,1000420001,MN25,1
4036,CITY ISLAND YACHT CLUB,less wealthy,10464,American,9/12/19,10F,N,1,9/12/19,40.84093887,-73.78580843,210,13,51600,2097767,2056260083,BX10,1
4037,MARIE'S GOURMET,wealthier,10301,American,9/23/19,04N,Y,1,9/23/19,40.62062027,-74.09850451,501,49,5900,5006536,5002400026,SI35,1
4038,ASO ROCK LOUNGE AND RESTAURANT,less wealthy,11434,African,10/16/19,10F,N,1,10/16/19,40.67201393,-73.76431235,412,31,33402,4270913,4125820031,QN02,1
4039,RED KARAOKE LOUNGE,less wealthy,11223,American,2/23/19,08A,N,1,2/23/19,40.59882954,-73.96123552,315,47,39400,3192202,3071120041,BK25,1
4040,MATTEO'S OF HOWARD BEACH,less wealthy,11414,Italian,1/17/19,06C,Y,1,1/17/19,40.66487616,-73.8417961,410,32,89200,4247510,4114720038,QN57,1
4041,STAGE STAR DELI,wealthier,10019,Delicatessen,9/11/19,10F,N,1,9/11/19,40.76319941,-73.9785464,105,4,13700,1023393,1010080026,MN17,1
4042,LE PAIN QUOTIDIEN,wealthier,10003,Bakery,12/6/19,06E,Y,1,12/6/19,40.73255857,-73.99126448,102,2,6100,1009138,1005630037,MN23,1
4043,EL VALLE RESTAURANT,less wealthy,10455,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/8/19,10B,N,1,7/8/19,40.81842303,-73.91668648,201,17,6700,2001355,2023740065,BX34,1
4044,PIZZA EMPORIUM,less wealthy,11234,Pizza,5/29/19,06C,Y,1,5/29/19,40.60894176,-73.93256512,318,46,65800,3240855,3085200042,BK45,1
4045,SUPER CROWN'S FRIED CHICKEN & PIZZA,less wealthy,10459,Chicken,7/11/19,04A,Y,1,7/11/19,40.82172604,-73.90077754,203,17,13300,2005012,2026770070,BX35,1
4046,DUNKIN',less wealthy,11223,Donuts,4/9/19,10F,N,1,4/9/19,40.5977261,-73.96113174,315,48,58200,3395096,3073430074,BK25,1
4047,JUST SALAD,wealthier,10022,Salads,12/12/19,10F,N,1,12/12/19,40.75744266,-73.97379805,105,4,10200,1035464,1012860035,MN17,1
4048,MCDONALD'S,wealthier,10025,Hamburgers,10/21/19,10F,N,1,10/21/19,40.79428784,-73.97206077,107,6,18300,1033694,1012430013,MN12,1
4049,MCDONALD'S,less wealthy,10455,Hamburgers,7/17/19,10F,N,1,7/17/19,40.81639216,-73.91702864,201,17,7100,2097027,2022940002,BX34,1
4050,MCDONALD'S,wealthier,10023,Hamburgers,1/18/19,06D,Y,1,1/18/19,40.77768139,-73.98234737,107,6,15900,1030373,1011620029,MN14,1
4051,POPEYES,wealthier,10032,Chicken,7/22/19,10B,N,1,7/22/19,40.84357016,-73.93813449,112,10,25300,1063468,1021410048,MN36,1
4052,BURGER KING,less wealthy,11427,Hamburgers,4/11/19,10F,N,1,4/11/19,40.72824562,-73.74724888,413,23,55200,4228829,4106770011,QN34,1
4053,LILY'S CAFE RESTAURANT,less wealthy,10452,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/13/19,08C,N,1,11/13/19,40.83553385,-73.92070885,204,16,19700,2003013,2024890033,BX63,1
4054,THE COFFEE HOUSE,wealthier,10036,Café/Coffee/Tea,3/26/19,06D,Y,1,3/26/19,40.75514944,-73.98084822,105,4,9600,1034214,1012590048,MN17,1
4055,ZEFES MEXICAN RESTAURANT,less wealthy,11221,Mexican,5/6/19,10F,N,1,5/6/19,40.69765371,-73.92908869,304,34,42300,3073099,3032160001,BK78,1
4056,AMC THEATRES,wealthier,10003,Hotdogs/Pretzels,4/23/19,10B,N,1,4/23/19,40.73859694,-73.98991048,105,2,5200,1016163,1008487502,MN13,1
4057,PATRIZIA'S,less wealthy,11249,Italian,11/8/19,10F,N,1,11/8/19,40.71069768,-73.96739957,301,33,54900,3063642,3024690001,BK73,1
4058,MEXICAN FAST FOOD,less wealthy,10468,Mexican,2/28/19,08C,N,1,2/28/19,40.8668881,-73.89783553,207,14,40100,2014132,2031910020,BX05,1
4059,DUNKIN',less wealthy,11203,Donuts,2/27/19,10F,N,1,2/27/19,40.65585287,-73.94266656,317,40,81600,3107789,3048420006,BK91,1
4060,DUNKIN',less wealthy,11226,Donuts,3/5/19,04E,Y,1,3/5/19,40.65039398,-73.94951843,317,40,82400,3109275,3048840064,BK95,1
4061,THE HALF PINT,wealthier,10012,American,10/7/19,06C,Y,1,10/7/19,40.72943809,-73.99879491,102,1,6500,1008637,1005370013,MN23,1
4062,"DUNKIN', BASKIN ROBBINS",less wealthy,11217,Donuts,3/27/19,06D,Y,1,3/27/19,40.68456738,-73.97879534,302,33,3900,3388735,3001867501,BK38,1
4063,DUNKIN',wealthier,10016,Donuts,8/30/19,10F,N,1,8/30/19,40.74244937,-73.98051988,106,2,7200,1018223,1008840048,MN20,1
4064,DUNKIN' DONUTS,less wealthy,11232,Donuts,5/29/19,10E,N,1,5/29/19,40.66079132,-73.99766079,307,38,10100,3009585,3006520001,BK32,1
4065,DUNKIN',wealthier,10002,Donuts,10/17/19,10F,N,1,10/17/19,40.72193022,-73.98532047,103,2,3002,1004960,1003977503,MN22,1
4066,DUNKIN',less wealthy,11223,Donuts,7/29/19,10F,N,1,7/29/19,40.60467732,-73.97640075,311,44,42400,3176965,3066530027,BK29,1
4067,POCO,wealthier,10009,Spanish,5/17/19,10B,N,1,5/17/19,40.72251179999999,-73.98306554,103,2,2202,1004589,1003850005,MN28,1
4068,CAFE CORTADITO,wealthier,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/22/19,10F,N,1,1/22/19,40.72251174,-73.9826254,103,2,2202,1004589,1003850005,MN28,1
4069,CUENCA COFFEE SHOP RESTAURANT,less wealthy,11421,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/24/19,04N,Y,0,9/24/19,40.69444228,-73.84946811,409,32,2200,4182440,4088830083,QN53,0
4070,DUNKIN',less wealthy,11204,Donuts,10/21/19,08A,N,1,10/21/19,40.62009121,-73.98919002,311,47,24800,3133137,3055400004,BK28,1
4071,DUNKIN',less wealthy,11214,Donuts,12/30/19,09C,N,1,12/30/19,40.60481973,-73.99863151,311,47,28400,3166867,3063740053,BK28,1
4072,DUNKIN',less wealthy,11232,Donuts,2/21/19,10F,N,1,2/21/19,40.6557573,-74.00531959,307,38,8400,3010252,3006920012,BK32,1
4073,DUNKIN',less wealthy,11226,American,5/13/19,10F,N,1,5/13/19,40.63518747,-73.96277439,314,40,52000,3121182,3052360018,BK42,1
4074,HARRY CIPRIANI,wealthier,10022,Italian,1/11/19,10F,N,1,1/11/19,40.76444707,-73.97287113,108,4,11401,1040751,1013740001,MN40,1
4075,CHILI'S GRILL & BAR,less wealthy,11385,American,12/18/19,10F,N,1,12/18/19,40.70944514,-73.86956824,405,30,63700,4462612,4038100350,QN19,1
4076,SAJU BISTRO,wealthier,10036,French,12/5/19,10F,N,1,12/5/19,40.75645368,-73.98395204,105,4,11900,1022616,1009960043,MN17,1
4077,EL PUERTO,wealthier,10027,Seafood,2/28/19,06D,Y,1,2/28/19,40.81366915,-73.95650017,109,7,21900,1059698,1019820020,MN06,1
4078,PIQUANT,less wealthy,11217,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/13/19,02G,Y,1,2/13/19,40.68001842,-73.9745064,308,35,16100,3028031,3011430005,BK64,1
4079,TIAN JIN CHINESE RESTAURANT,less wealthy,11354,Chinese,12/9/19,10F,N,1,12/9/19,40.75903759,-73.8316125,407,20,87100,4114108,4050360016,QN22,1
4080,GUY R CAFE SNACK CORNER,less wealthy,11434,Caribbean,11/15/19,10F,N,1,11/15/19,40.66380465,-73.76853712,413,31,32000,4285800,4133410029,QN03,1
4081,PARISIENNE CAFE,less wealthy,10458,Café/Coffee/Tea,2/14/19,04A,Y,1,2/14/19,40.8542511,-73.88869135,206,15,39100,2011902,2030650063,BX06,1
4082,THE DIAMOND,less wealthy,11222,American,4/6/19,10F,N,1,4/6/19,40.72679516,-73.95725343,301,33,56100,3065239,3025890016,BK76,1
4083,SCHNITZEL HAUS,less wealthy,11209,German,7/25/19,06C,Y,1,7/25/19,40.63079425,-74.02208818,310,43,13400,3147921,3059200002,BK31,1
4084,MCGARRY'S,wealthier,10001,American,5/17/19,08A,N,1,5/17/19,40.75296067,-73.99662166,104,3,10300,1012846,1007310041,MN13,1
4085,MAGNOLIA BAKERY,wealthier,10014,Bakery,10/17/19,04N,Y,1,10/17/19,40.73586074,-74.00508785,102,3,7300,1011302,1006220034,MN23,0
4086,ADVENTURES AMUSEMENTS PARK (ice cream/sweets stand),less wealthy,11214,American,7/31/18,06D,Y,1,7/31/18,40.59131251,-73.99450914,311,43,30400,3378180,3069430030,BK29,1
4087,E SQUARED CAFE,wealthier,10307,Café/Coffee/Tea,9/13/19,04O,Y,1,9/13/19,40.51812114,-74.234492,503,51,24800,5141719,5080080134,SI11,1
4088,DUGOUT PUB,less wealthy,11377,Irish,12/18/19,06D,Y,1,12/18/19,40.74534186,-73.90350821,402,26,25900,4030037,4012930001,QN63,1
4089,TENDA ASIAN FUSION,less wealthy,11235,Japanese,12/4/19,04M,Y,0,12/4/19,40.58545601,-73.95159824,315,48,60600,3247006,3087700036,BK17,0
4090,AUNTIE ANNE'S PRETZELS,less wealthy,11430,Bagels/Pretzels,4/25/19,10B,N,1,4/25/19,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,1
4091,EVERGREEN 858 LLC,less wealthy,11220,Chinese,10/8/19,04M,Y,1,10/8/19,40.63702127,-74.00795191,312,38,10400,3140160,3056930002,BK34,1
4092,LAST CALL,less wealthy,11415,American,1/18/20,08A,N,1,1/18/20,40.70797844,-73.83097009999999,409,29,77500,4079570,4033320027,QN60,1
4093,SMITH & MILLS,wealthier,10013,American,8/30/19,04L,Y,0,8/30/19,40.72008351,-74.009845,101,1,3900,1002123,1001880009,MN24,0
4094,PRET A MANGER,wealthier,10018,Sandwiches,1/28/19,06C,Y,1,1/28/19,40.75348973,-73.98711095,105,4,11300,1015274,1008140052,MN17,1
4095,EMPIRE KING RESTAURANT,less wealthy,10456,Chinese,2/27/19,02G,Y,1,2/27/19,40.8324778,-73.89834028,203,16,15100,2010187,2029620009,BX35,1
4096,THE GUTTER BAR,less wealthy,11249,American,6/8/19,10F,N,1,6/8/19,40.722883200000005,-73.95548817,301,33,55700,3335587,3022790015,BK73,1
4097,MATRYOSHKA (SPA 88),wealthier,10038,Russian,9/17/19,04L,Y,1,9/17/19,40.70929135,-74.00594428,101,1,1502,1077403,1000770024,MN25,1
4098,MCDONALD'S,less wealthy,11373,American,7/18/19,04O,Y,1,7/18/19,40.73797025,-73.88368647,404,25,48500,4458799,4015390001,QN50,1
4099,CAFE FRESCO,wealthier,10065,Delicatessen,4/18/19,06B,Y,1,4/18/19,40.76447295,-73.95843849,108,5,11800,1044744,1014410030,MN31,1
4100,DUNKIN',wealthier,10018,Donuts,9/20/19,09B,N,1,9/20/19,40.75362185,-73.99095852,105,3,10900,1014453,1007870001,MN17,1
4101,NARGIS CAFE,less wealthy,11235,Eastern European,1/28/19,04L,Y,1,1/28/19,40.58786657,-73.96040302,313,48,37000,3196031,3072240100,BK19,1
4102,STARBUCKS,wealthier,10001,Café/Coffee/Tea,1/6/20,08A,N,1,1/6/20,40.75050916,-73.98947917,105,3,10900,1015219,1008100001,MN17,1
4103,STARBUCKS,less wealthy,11426,Café/Coffee/Tea,10/1/19,06D,Y,1,10/1/19,40.72682701,-73.713567,413,23,161700,4177201,4086680155,QN43,1
4104,PRETZEL KING,less wealthy,11432,Bagels/Pretzels,2/26/19,06F,Y,1,2/26/19,40.707372799999995,-73.79611127,412,24,44601,4209595,4097940048,QN61,1
4105,FORTY CARROTS,wealthier,10022,American,6/25/19,06C,Y,1,6/25/19,40.76188723,-73.96634923,108,4,11402,1041904,1013940023,MN40,1
4106,STARBUCKS,wealthier,10039,Café/Coffee/Tea,8/1/19,10F,N,1,8/1/19,40.82290158,-73.94205959,110,9,25900,1087463,1020457501,MN03,1
4107,DUNKIN',less wealthy,11231,Donuts,11/22/19,10F,N,1,11/22/19,40.68041645,-73.99682004,306,39,7700,3007540,3004490001,BK33,1
4108,DUNKIN' BASKIN ROBBINS,less wealthy,11201,Donuts,5/20/19,10B,N,1,5/20/19,40.68662753,-73.99054216,302,33,6900,3005742,3003840041,BK38,1
4109,WHISKEY TRADER,wealthier,10019,American,4/12/19,10B,N,1,4/12/19,40.76255135,-73.97700520000001,105,4,10400,1034855,1012710071,MN17,1
4110,PEACHES HOTHOUSE-FORT GREENE,less wealthy,11217,Barbecue,11/6/19,08A,N,1,11/6/19,40.68709463,-73.97536546,302,35,3500,3059298,3021160012,BK68,1
4111,CHIPOTLE MEXICAN GRILL,wealthier,10025,Mexican,5/14/19,06E,Y,1,5/14/19,40.80429374,-73.96661668,109,7,19900,1057320,1018940011,MN09,1
4112,LAST STOP GOURMET SHOP,less wealthy,11694,American,4/1/19,06D,Y,1,4/1/19,40.5805202,-73.8376047,414,32,93800,4456961,4161660100,QN10,1
4113,ESPRESSO 77,less wealthy,11372,Café/Coffee/Tea,1/13/20,04H,Y,1,1/13/20,40.75091183,-73.88925448,403,25,28700,4029588,4012770036,QN28,1
4114,UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM,less wealthy,11228,"Ice Cream, Gelato, Yogurt, Ices",5/3/19,10H,N,1,5/3/19,40.62073645,-74.0081733,310,43,20000,3159953,3062210038,BK30,1
4115,SABOR LATINO SEAFOOD RESTAURANT,less wealthy,10462,Seafood,12/6/19,06C,Y,1,12/6/19,40.83627147,-73.85307064,209,18,22200,2041227,2039480001,BX46,1
4116,DOMINICKS  PIZZERIA,less wealthy,11220,Pizza/Italian,12/17/19,06D,Y,1,12/17/19,40.64158058,-74.00320332,312,38,10800,3137523,3056370006,BK34,1
4117,SOUTH OF FRANCE,less wealthy,10472,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/20/19,09C,N,1,6/20/19,40.83189868,-73.86621592,209,18,7000,2024735,2037640032,BX55,1
4118,MATSUNOYA,wealthier,10017,Japanese,1/9/20,02B,Y,1,1/9/20,40.75322957,-73.97431224,106,4,9200,1081160,1013000122,MN19,1
4119,KATSUHAMA 47,wealthier,10017,Japanese,12/17/19,08A,N,1,12/17/19,40.75635659,-73.97785197,105,4,9400,1035414,1012830010,MN17,1
4120,CAROUSEL FOR ALL CHILDREN,wealthier,10314,Hotdogs/Pretzels,8/27/19,10F,N,1,8/27/19,40.60436876,-74.16112106,502,50,27301,5156665,5020300155,SI05,1
4121,EL COYOTE BAR,less wealthy,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/2/19,04H,Y,1,10/2/19,40.74453775,-73.86781392,404,25,46300,4040045,4016020041,QN29,1
4122,EL LIDER RESTAURANT,less wealthy,10457,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/12/19,06E,Y,1,2/12/19,40.85549203,-73.89485633,206,15,38302,2011173,2030300159,BX40,1
4123,AMC THEATRES,wealthier,10016,American,10/16/19,04L,Y,1,10/16/19,40.74305532,-73.97704443,106,2,7000,1087237,1009360001,MN20,1
